pdb_id,target,cluster
1ps3,2.28,1
3d4z,4.89,1
3ejr,8.57,1
2qmj,4.21,2
3l4w,6.00,2
3l4u,7.52,2
3l7b,2.40,3
3g2n,4.09,3
3ebp,5.91,3
2w66,4.05,4
2wca,5.60,4
2vvn,7.30,4
2x97,5.66,5
2xhm,6.80,5
2x8z,7.96,5
2x0y,4.60,6
2cbj,8.27,6
2j62,11.34,6
3bkk,6.08,7
3l3n,8.18,7
2xy9,9.19,7
1gpk,5.37,8
1h23,8.35,8
1e66,9.89,8
3cj2,4.85,9
2d3u,6.92,9
3gnw,9.10,9
3f3a,4.19,10
3f3c,6.02,10
3f3e,7.70,10
4gqq,2.89,11
1u33,4.60,11
1xd0,7.12,11
2wbg,4.45,12
2j78,6.42,12
2cet,8.02,12
2zxd,5.22,13
2zwz,7.79,13
2zx6,10.60,13
3udh,2.85,14
4djv,6.72,14
4gid,10.77,14
3fk1,2.62,15
2qft,5.26,15
2pq9,8.11,15
1f8d,3.40,16
1f8b,5.40,16
1f8c,7.40,16
1n2v,4.08,17
1r5y,6.46,17
3ge7,8.70,17
3huc,5.99,18
3gcs,7.25,18
3e93,8.85,18
1q8t,4.76,19
1q8u,5.96,19
3ag9,8.05,19
3owj,6.07,20
2zjw,7.70,20
3pe2,9.76,20
2v00,3.66,21
3pww,7.32,21
3uri,9.00,21
3mfv,2.52,22
3f80,4.22,22
3kv2,7.32,22
2hb1,3.80,23
2qbr,6.33,23
2qbp,8.40,23
3fcq,2.77,24
1os0,6.03,24
4tmn,10.17,24
3pxf,4.43,25
2xnb,6.83,25
2fvd,8.52,25
1qi0,2.35,26
1w3k,4.30,26
1w3l,6.28,26
3imc,2.96,27
3ivg,4.30,27
3coy,6.02,27
3b3s,2.55,28
3b3w,4.19,28
3vh9,6.24,28
3mss,4.66,29
3k5v,6.30,29
2v7a,8.30,29
2brb,4.86,30
3jvs,6.54,30
1nvq,8.25,30
3acw,4.76,31
2zcr,6.87,31
2zcq,8.82,31
1bcu,3.28,32
1oyt,7.24,32
3utu,10.92,32
3u9q,4.38,33
2yfe,6.63,33
2p4y,9.00,33
3uo4,6.52,34
2wtv,8.74,34
3myg,10.70,34
3kgp,2.57,35
1o5b,5.77,35
1sqa,9.21,35
3kwa,4.08,36
2weg,6.50,36
3dd0,9.00,36
2xdl,3.10,37
1yc1,6.17,37
2yki,9.46,37
1p1q,4.89,38
3bfu,6.27,38
4g8m,7.89,38
3g2z,2.36,39
4de2,4.12,39
4de1,5.96,39
1vso,4.72,40
3gbb,6.90,40
3fv1,9.30,40
2y5h,5.79,41
2xbv,8.43,41
1mq6,11.15,41
1loq,3.70,42
1lol,6.39,42
1lor,11.06,42
1uto,2.27,43
3gy4,5.10,43
1o3f,7.96,43
2yge,5.06,44
2iwx,6.68,44
2vw5,8.52,44
2ymd,3.16,45
2xys,7.42,45
2x00,11.33,45
2r23,3.72,46
3bpc,4.80,46
1kel,7.28,46
3ozt,4.13,47
3oe5,6.88,47
3nw9,9.00,47
1zea,5.22,48
2pcp,8.70,48
1igj,10.00,48
1lbk,3.18,49
2gss,4.94,49
10gs,6.40,49
3su5,5.58,50
3su2,7.35,50
3su3,9.13,50
3n7a,3.70,51
3n86,5.64,51
2xb8,7.59,51
3ao4,2.07,52
3zsx,3.28,52
3zso,5.12,52
3nq3,3.78,53
3ueu,5.24,53
3uex,6.92,53
3lka,2.82,54
3ehy,5.85,54
3f17,8.63,54
3cft,4.19,55
4des,5.85,55
4dew,7.00,55
3dxg,2.40,56
1w4o,5.22,56
1u1b,7.80,56
3ov1,5.20,57
3s8o,6.85,57
1jyq,8.70,57
1a30,4.30,58
3cyx,8.00,58
4djr,11.52,58
3i3b,2.23,59
3muz,3.46,59
3vd4,4.82,59
2vo5,4.89,60
2vl4,6.01,60
2vot,7.14,60
1n1m,5.70,61
2ole,7.25,61
3nox,8.66,61
1hnn,6.24,62
2g70,7.77,62
2obf,8.85,62
1z95,7.12,63
3b68,8.40,63
3g0w,9.52,63
1sln,6.64,64
2d1o,7.70,64
1hfs,8.70,64
2jdy,4.37,65
2jdm,5.40,65
2jdu,6.72,65
