#code score
4llx 3.42
5c28 4.45
3uuo 7.36
3ui7 7.75
5c2h 8.32
2v00 4.37
3wz8 4.79
3pww 7.92
3prs 7.47
3uri 7.72
4m0z 6.66
4m0y 5.94
3qgy 7.26
4qd6 6.63
4rfm 8.15
4cr9 3.61
4cra 6.39
4x6p 8.06
4crc 7.81
4ty7 8.15
5aba 4.78
5a7b 5.49
4agn 4.36
4agp 5.14
4agq 5.04
3bgz 7.27
3jya 6.66
2c3i 7.2
4k18 8.06
5dwr 8.44
3mss 4.32
3k5v 7.65
3pyy 6.83
2v7a 6.77
4twp 7.2
3wtj 6.77
3zdg 6.25
3u8k 7.07
4qac 6.27
3u8n 7.83
1a30 5.4
2qnq 6.1
1g2k 7.65
1eby 8.24
3o9i 10.96
4lzs 4.69
3u5j 4.76
4wiv 6.76
4ogj 6.11
3p5o 6.35
1ps3 3.51
3dx1 5.12
3d4z 5.23
3dx2 7.04
3ejr 7.28
3l7b 3.65
4eky 4.11
3g2n 4.31
3syr 4.24
3ebp 5.37
2w66 5.18
2w4x 4.61
2wca 7.46
2xj7 5.18
2vvn 6.77
3aru 4.75
3arv 5.28
3ary 3.97
3arq 5.92
3arp 6.7
4ih5 5.51
4ih7 5.97
3cj4 6.08
4eo8 6.9
3gnw 6.12
1gpk 6.48
1gpn 7.01
1h23 8.09
1h22 7.64
1e66 8.43
3f3a 5.19
3f3c 4.8
4mme 5.76
3f3d 4.46
3f3e 5.12
2wbg 5.5
2cbv 5.28
2j78 5.51
2j7h 4.6
2cet 7.11
3udh 5.62
3rsx 4.81
4djv 5.87
2vkm 7.19
4gid 7.77
4jfs 5.44
4j28 6.07
2wvt 5.11
2xii 7.53
4pcs 5.69
3rr4 5.86
1s38 5.22
1r5y 5.27
3gc5 7.48
3ge7 7.97
4dli 6.51
2zb1 7.02
4f9w 7.25
3e92 7.69
3e93 7.55
4owm 3.63
3twp 4.34
3r88 3.87
4gkm 4.38
3qqs 5.21
3gv9 3.94
3gr2 4.24
4kz6 3.95
4jxs 3.9
2r9w 5.3
2hb1 4.58
1bzc 5.88
2qbr 5.96
2qbq 7.38
2qbp 7.74
1q8t 4.76
1ydr 6.11
1q8u 6.94
1ydt 5.66
3ag9 7.58
3fcq 3.71
1z9g 5.42
1qf1 6.6
5tmn 7.26
4tmn 7.81
4ddk 3.31
4ddh 3.54
3ivg 5.17
3coz 5.36
3coy 5.52
3pxf 4.99
4eor 6.42
2xnb 6.2
1pxn 6.72
2fvd 7.89
4k77 7.21
4e5w 7.17
4ivb 8.01
4ivd 8.34
4ivc 8.25
4f09 7.27
4gfm 6.85
4hge 7.89
4e6q 6.15
4jia 6.64
2brb 5.64
2br1 5.86
3jvr 5.56
3jvs 5.54
1nvq 7.59
3acw 5.99
4ea2 6.52
2zcr 6.55
2zy1 5.82
2zcq 4.5
1bcu 3.22
3bv9 6.39
1oyt 7.42
2zda 7.29
3utu 9.53
3u9q 4.59
2yfe 5.68
3fur 7.57
3b1m 6.75
2p4y 7.36
3uo4 7.34
3up2 7.75
3e5a 6.92
2wtv 8.33
3myg 7.86
3kgp 3.19
1c5z 4.3
1o5b 4.85
1owh 5.94
1sqa 6.73
4jsz 4.27
3kwa 3.07
2weg 6.68
3ryj 7.76
3dd0 8.05
2xdl 4.14
3b27 5.66
1yc1 5.62
3rlr 7.35
2yki 7.68
1z95 8.16
3b68 8.64
3b5r 8.03
3b65 8.35
3g0w 8.01
4u4s 4.92
1p1q 5.96
1syi 6.09
1p1n 6.58
2al5 6.6
3g2z 4.1
3g31 5.19
4de2 4.63
4de3 4.9
4de1 4.94
1vso 5.72
4dld 7.62
3gbb 7.78
3fv2 6.12
3fv1 9.23
4mgd 5.96
2qe4 7.96
1qkt 7.0
2pog 7.7
2p15 8.06
2y5h 5.78
1lpg 7.36
2xbv 8.21
1z6e 8.16
1mq6 8.91
1nc3 6.55
1nc1 5.51
1y6r 8.22
4f2w 9.46
4f3c 9.98
1uto 3.27
4abg 3.35
3gy4 4.72
1k1i 6.26
1o3f 5.8
2yge 5.56
2fxs 4.49
2iwx 5.46
2wer 7.53
2vw5 5.69
4kzq 5.86
4kzu 5.95
4j21 6.05
4j3l 6.3
3kr8 7.38
2ymd 6.44
2wnc 6.39
2xys 7.58
2wn9 6.39
2x00 8.03
3ozt 7.09
3ozs 7.12
3oe5 7.33
3oe4 6.63
3nw9 8.27
3ao4 2.92
3zt2 3.53
3zsx 3.36
4cig 3.81
3zso 4.29
3n7a 3.56
4ciw 5.29
3n86 5.25
3n76 5.18
2xb8 5.59
4bkt 4.14
4w9c 4.76
4w9l 6.18
4w9i 5.73
4w9h 5.98
3nq9 3.45
3ueu 5.6
3uev 5.5
3uew 5.92
3uex 6.47
3lka 4.55
3ehy 7.31
3tsk 6.83
3nx7 7.03
4gr0 8.04
3dxg 3.89
3d6q 3.92
1w4o 4.97
1o0h 5.48
1u1b 5.01
